Time (s),Photometer (mg/L)
0,0.331799775
0.99938,0.331751317
2.000756,0.704891324
3.000145,2.867227316
3.999525,3.947943449
5.000901,16.7569828
5.99826,36.3233757
6.99967,43.19116974
7.999042,43.85425949
8.998404,38.15823364
9.999806,43.101017
10.99916,39.83109665
12.00056,34.70613861
12.99994,34.3117981
13.99933,28.04226112
14.99871,28.79494476
16.00009,28.50892448
16.99948,30.4485302
17.99882,25.19565201
19.00023,30.03125572
20.0016,30.5779438
21.00099,32.87348938
22.00037,31.82247925
22.99975,30.10748291
23.9991,38.39095306
25.00051,35.20061874
25.99989,31.36746025
26.99928,39.71932983
28.00065,45.74007034
29,39.81085587
29.99939,33.19439697
31.0008,33.62904739
32.00018,35.07262421
32.99956,38.83000565
34.00093,30.39974594
35.00032,24.41905022
35.9997,23.74454689
37.00108,22.91485596
38.00046,24.93540192
38.99984,25.40161514
40.00121,26.64149475
41.0006,26.50930786
41.99998,28.41711044
43.00136,32.29763412
44.00074,31.35794449
45.00211,31.05929375
46.00147,29.40530205
47.00088,26.46714211
48.00226,26.53794098
49.00164,26.91972733
50.00299,26.30513
51.0024,28.02523804
52.00179,27.24905205
53.00116,25.42490578
54.00453,25.25673294
55.00192,26.51922417
56.00131,24.54125214
57.00268,24.66837311
58.00203,23.96205711
59.00142,23.49291801
60.00282,23.78587341
61.0022,24.26051521
62.00159,24.64804649
63.00296,24.78977585
64.00234,25.22322273
65.00173,24.21152115
66.0031,23.06947327
67.00248,24.04296303
68.00184,24.48117447
69.00321,24.17226601
70.0026,23.755867
71.00201,23.32486916
72.00336,23.3792305
73.00276,22.94875336
74.00212,24.06663895
75.00349,23.08739853
76.00288,23.31413269
77.00229,23.30283165
78.00367,22.68051338
79.00302,23.22405815
80.0024,23.42297745
81.00381,23.4677906
82.00319,23.42132378
83.00254,23.71048355
84.00392,23.61831474
85.00333,23.77846336
86.00272,23.368433
87.00409,23.69802475
88.00345,23.53197861
89.00485,23.53505135
90.00423,22.99733925
91.0056,22.94943047
92.00299,22.73613358
93.00437,22.52704048
94.00375,22.46136475
95.00513,22.30892944
96.00448,22.36688995
97.0039,22.47118187
98.00328,22.02088356
99.00465,22.37419319
100.004,22.15174484
101.0034,22.21370506
102.0048,21.98077011
103.0042,22.20406914
104.0036,22.46150398
105.0049,21.42570496
106.0043,21.94117355
107.0037,21.7467804
108.0051,21.89505577
109.0045,21.85350609
110.0038,21.77375603
111.0052,21.85766411
112.0046,21.75052834
113.006,21.75374985
114.0054,22.02983284
115.0047,22.02606964
116.0061,22.19974709
117.0055,21.49359703
118.0068,21.76120567
119.0043,21.7380867
120.0056,21.51976967
121.005,21.25197983
122.0044,21.15050125
123.0058,21.19147301
124.0051,21.0160408
125.0045,20.49678612
126.0059,21.20676041
127.0053,21.33154869
128.0047,21.15857887
129.0061,20.61231995
130.0074,20.95186996
131.0048,20.33844757
132.0062,20.33533669
133.0056,20.22870827
134.0069,20.11213303
135.0063,20.1909771
136.0057,20.20037079
137.0071,20.3611908
138.0065,20.77372742
139.0059,20.31912994
140.0072,20.23506927
141.0066,20.68405342
142.0079,20.87064171
143.0073,20.7755146
144.0066,20.53848648
145.008,20.36844063
146.0073,20.55044365
147.0067,20.64172935
